affiliationID,normalizedName,displayName,GRIDid,wiki,paperTotal,paperFamilyTotal,citationTotal,Iso3166Code,Latitude,Longitude
46247651,university of manitoba,University of Manitoba,grid.21613.37,http://en.wikipedia.org/wiki/University_of_Manitoba,63455,62845,1471259,CA,49.80944,-97.13278
67698093,misericordia university,Misericordia University,grid.418760.c,http://en.wikipedia.org/wiki/Misericordia_University,713,711,10794,US,41.3451,-75.9716
68213504,mount st mary s university,Mount St. Mary's University,grid.260308.f,http://en.wikipedia.org/wiki/Mount_St._Mary's_University,501,499,2763,US,39.682,-77.353
79236395,trinity lutheran seminary,Trinity Lutheran Seminary,grid.431271.2,http://en.wikipedia.org/wiki/Trinity_Lutheran_Seminary,68,68,115,US,39.9569,-82.9405
94690351,center for autism and related disorders,Center for Autism and Related Disorders,grid.459423.d,http://en.wikipedia.org/wiki/Center_for_Autism_and_Related_Disorders,641,634,20643,US,34.4653,-118.630196
102179633,the new school,The New School,grid.264933.9,http://en.wikipedia.org/wiki/The_New_School,6677,6629,112221,US,40.7355766,-73.99696
108541056,pacific university,Pacific University,grid.449176.9,http://en.wikipedia.org/wiki/Pacific_University,3111,3081,19424,US,45.52111,-123.108063
123534392,university of north texas,University of North Texas,grid.266869.5,http://en.wikipedia.org/wiki/University_of_North_Texas,25784,25415,472501,US,33.2119942,-97.14914
126541806,lagos state university,Lagos State University,grid.411276.7,http://en.wikipedia.org/wiki/Lagos_State_University,2656,2652,20291,NG,6.467,3.183
134315084,rajendra memorial research institute of medical sciences,Rajendra Memorial Research Institute of Medical Sciences,grid.203448.9,http://en.wikipedia.org/wiki/Rajendra_Memorial_Research_Institute_of_Medical_Sciences,354,354,5464,IN,25.5998325,85.19753
140106629,artvin coruh university,Artvin Çoruh University,grid.449164.a,http://en.wikipedia.org/wiki/Artvin_Çoruh_University,641,640,3019,TR,41.1832,41.8325
151192355,jabalpur engineering college,Jabalpur Engineering College,"",http://en.wikipedia.org/wiki/Jabalpur_Engineering_College,190,188,797,IN,23.17621,79.93148
156762387,addis continental institute of public health,Addis Continental Institute of Public Health,grid.458355.a,http://en.wikipedia.org/wiki/Addis_Continental_Institute_of_Public_Health,208,207,3455,ET,9.040661,38.76331
159885104,ecole pratique des hautes etudes,École pratique des hautes études,grid.424469.9,http://en.wikipedia.org/wiki/École_pratique_des_hautes_études,3015,2997,59317,FR,48.8311,2.34
