affiliationID,displayName,normalizedName,wiki,paperTotal,citationTotal,Latitude,Longitude,GRIDid
2801117638,Bristol City Council,bristol city council,http://en.wikipedia.org/wiki/Bristol_City_Council,80,611,51.46539,-2.589679,grid.33692.3d
2801141804,Bankura University,bankura university,https://en.wikipedia.org/wiki/Bankura_University,57,165,23.2769,87.0854,grid.472280.b
2802759389,Providence VA Medical Center,providence va medical center,https://en.wikipedia.org/wiki/Providence_VA_Medical_Center,671,9697,41.8313,-71.4326859,grid.413904.b
430192,Appalachian State University,appalachian state university,http://en.wikipedia.org/wiki/Appalachian_State_University,6433,102336,36.2138443,-81.67862,grid.252323.7
10986801,Oakwood University,oakwood university,http://en.wikipedia.org/wiki/Oakwood_University,225,3232,34.756,-86.653,grid.412308.c
21028721,Eulji University,eulji university,http://en.wikipedia.org/wiki/Eulji_University,5934,54708,36.33334,127.404907,grid.255588.7
25749977,University of Sydney Faculty of Health Sciences,university of sydney faculty of health sciences,http://en.wikipedia.org/wiki/University_of_Sydney_Faculty_of_Health_Sciences,193,3593,-33.8889275,151.189468,""
38335241,"National Institute of Technology, Raipur",national institute of technology raipur,"http://en.wikipedia.org/wiki/National_Institute_of_Technology,_Raipur",2161,10189,21.2494,81.6049,grid.444688.2
40689657,National Formosa University,national formosa university,http://en.wikipedia.org/wiki/National_Formosa_University,4292,38404,23.7102737,120.563133,grid.412054.6
42934936,Dublin City University,dublin city university,http://en.wikipedia.org/wiki/Dublin_City_University,15779,246863,53.3849525,-6.256542,grid.15596.3e
44445938,Shandong jianzhu university 山東建築大學,shandong jianzhu university 山東建築大學,http://en.wikipedia.org/wiki/Shandong_Jianzhu_University,4453,13535,36.67667,117.179169,""
52710748,Charles R. Drew University of Medicine and Science,charles r drew university of medicine and science,http://en.wikipedia.org/wiki/Charles_R._Drew_University_of_Medicine_and_Science,1945,70263,33.9242554,-118.242561,grid.254041.6
71209653,Bocconi University,bocconi university,http://en.wikipedia.org/wiki/Bocconi_University,7133,186817,45.45028,9.18972,grid.7945.f
75381157,Wilfrid Laurier University,wilfrid laurier university,http://en.wikipedia.org/wiki/Wilfrid_Laurier_University,10963,175112,43.475338,-80.5272446,grid.268252.9
75447333,Mymensingh Medical College,mymensingh medical college,http://en.wikipedia.org/wiki/Mymensingh_Medical_College,814,2164,24.7416,90.4093,grid.416352.7
82867504,Hospital Central Militar Mexico,hospital central militar mexico,http://en.wikipedia.org/wiki/Hospital_Central_Militar_Mexico,222,1595,19.4374,-99.2162,grid.414411.5
137799390,University of the West Indies,university of the west indies,http://en.wikipedia.org/wiki/University_of_the_West_Indies,15874,236299,18.00298,-76.74457,grid.461576.7
137805890,Instituto Superior de Agronomia,instituto superior de agronomia,http://en.wikipedia.org/wiki/Instituto_Superior_de_Agronomia,2863,69955,38.7060776,-9.182549,""
151221077,Chung Yuan Christian University,chung yuan christian university,http://en.wikipedia.org/wiki/Chung_Yuan_Christian_University,10164,134098,24.9581642,121.241791,grid.411649.f
154023281,British University in Egypt,british university in egypt,http://en.wikipedia.org/wiki/British_University_in_Egypt,1750,20998,30.11778,31.60639,grid.440862.c
158333966,Technical University of Cluj-Napoca,technical university of cluj napoca,http://en.wikipedia.org/wiki/Technical_University_of_Cluj-Napoca,7499,29250,46.767,23.583,grid.6827.b
166337079,Queen Mary University of London,queen mary university of london,http://en.wikipedia.org/wiki/Queen_Mary_University_of_London,59669,1573501,51.52306,-0.04028,grid.4868.2
169238054,Czechoslovak Academy of Sciences,czechoslovak academy of sciences,http://en.wikipedia.org/wiki/Czechoslovak_Academy_of_Sciences,17880,236160,50.0833321,14.416667,""
201181511,Superior National School of Advanced Techniques,superior national school of advanced techniques,http://en.wikipedia.org/wiki/ENSTA_ParisTech,842,8482,48.8342476,2.283331,grid.434223.0
287042436,University of Southeastern Philippines,university of southeastern philippines,http://en.wikipedia.org/wiki/University_of_Southeastern_Philippines,54,39,7.08611,125.616943,grid.443044.3
293211686,Santa Fe College,santa fe college,http://en.wikipedia.org/wiki/Santa_Fe_College,61,282,29.6813717,-82.4333,grid.421852.8
324290372,University of Córdoba (Colombia),university of cordoba,http://en.wikipedia.org/wiki/University_of_Córdoba_(Colombia),169,440,8.78778,-75.85778,""
1287163989,Massachusetts Eye and Ear Infirmary,massachusetts eye and ear infirmary,http://en.wikipedia.org/wiki/Massachusetts_Eye_and_Ear_Infirmary,11616,311312,42.3606644,-71.07002,grid.39479.30
1289784979,University College Hospital,university college hospital,http://en.wikipedia.org/wiki/University_College_Hospital,13081,267139,51.52524,-0.1343972,grid.439749.4
1297991670,Southwest University of Science and Technology,southwest university of science and technology,http://en.wikipedia.org/wiki/Southwest_University_of_Science_and_Technology,10645,44666,31.4826984,104.727737,grid.440649.b
1327930874,Apollo Hospitals,apollo hospitals,http://en.wikipedia.org/wiki/Apollo_Hospitals,3482,16106,13.0900173,80.2787,grid.413839.4
